id,observed_on,time_observed_at,quality_grade,latitude,longitude,geoprivacy,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name
120571,9/8/12,2012-09-08 18:17:20 UTC,research,36.0124044074,-78.8979879015,,Papilio polyxenes asterius,Eastern Black Swallowtail,Insecta,54900,Animalia,Arthropoda,Insecta
120579,9/8/12,2012-09-08 18:58:54 UTC,research,36.0123634848,-78.8979212634,,Papilio polyxenes,Black Swallowtail,Insecta,58523,Animalia,Arthropoda,Insecta
290192,5/5/13,2013-05-05 19:57:38 UTC,research,36.0134428133,-78.8922060827,,Harmonia axyridis,Asian Lady Beetle,Insecta,48484,Animalia,Arthropoda,Insecta
495597,8/7/13,,research,36.031451,-78.898702,,Agkistrodon contortrix,Eastern Copperhead,Reptilia,912622,Animalia,Chordata,Reptilia
528455,1/26/14,2014-01-26 20:04:45 UTC,research,36.023852,-78.925961,,Hedera helix,common ivy,Plantae,55882,Plantae,Tracheophyta,Magnoliopsida
611325,11/19/13,,research,36.007772,-78.919731,,Anaxyrus fowleri,Fowler's Toad,Amphibia,64977,Animalia,Chordata,Amphibia
653827,5/2/14,2014-05-02 18:49:56 UTC,research,36.0217458,-78.9440382,,Turdus migratorius,American Robin,Aves,12727,Animalia,Chordata,Aves
723433,5/31/14,2014-05-31 20:58:24 UTC,research,36.002078,-78.901659,,Phytolacca americana,American pokeweed,Plantae,48599,Plantae,Tracheophyta,Magnoliopsida
778055,7/1/14,2014-07-01 22:48:27 UTC,research,35.998106,-78.905289,,Fuligo septica,Dog Vomit Slime Mold,Protozoa,55483,Protozoa,Mycetozoa,Myxomycetes
856308,8/31/14,2014-08-31 23:15:32 UTC,research,36.01645507,-78.91547507,,Ceratomia catalpae,Catalpa Sphinx,Insecta,143440,Animalia,Arthropoda,Insecta
859803,8/30/14,2014-08-30 12:37:40 UTC,research,36.000648,-78.902669,,Melothria pendula,creeping cucumber,Plantae,131557,Plantae,Tracheophyta,Magnoliopsida
882643,7/6/14,2014-07-06 16:18:12 UTC,research,36.0043833333,-78.9017033333,,Peucetia viridans,Green Lynx Spider,Arachnida,126777,Animalia,Arthropoda,Arachnida
882647,8/8/14,2014-08-08 12:16:41 UTC,research,36.026975,-78.858375,,Anas platyrhynchos,Mallard,Aves,6930,Animalia,Chordata,Aves
893038,9/20/14,2014-09-20 12:16:09 UTC,research,36.0154,-78.9176416667,,Diospyros virginiana,American persimmon,Plantae,83435,Plantae,Tracheophyta,Magnoliopsida
